Title,Number of ratings,Gutenberg ID,Factor,Rank
Tales from the Veld,3,36602,Y,426
That Scholarship Boy,3,26104,Y,427
The Black Bar,3,21326,Y,428
The Eagle's Heart,3,21255,Y,429
The House of Martha,3,18822,Y,430
The King's Jackal,3,411,Y,431
The Mountain Lovers,3,43485,Y,432
The Walrus Hunters: A Romance of the Realms of Ice,3,21709,Y,433
Wiles of the Wicked,3,40831,Y,434
Tiny Luttrell,3,37320,Y,435
Young Barbarians,3,30089,Y,436
Young Blood,3,42902,Y,437
Zoraida: A Romance of the Harem and the Great Sahara,3,40994,Y,438
A Hero of Romance,2,38160,Y,439
A Knight of the Nets,2,9374,Y,440
A Nest of Linnets,2,47195,Y,441
A Veldt Official: A Novel of Circumstance,2,32922,Y,442
Across Texas,2,48970,Y,443
At the Relton Arms,2,41403,Y,444
Between Sun and Sand: A Tale of an African Desert,2,36420,Y,445
Colonel Starbottle's Client and Some Other People,2,2784,Y,446
Devil's Dice,2,40829,Y,447
"Final Proof: or, The Value of Evidence",2,35902,Y,448
Fordham's Feud,2,36593,Y,449
Golden Face: A Tale of the Wild West,2,36599,Y,450
Her Majesty's Minister,2,41000,Y,451
If Sinners Entice Thee,2,41002,Y,452
In Search of Mademoiselle,2,48336,Y,453
Joan of the Sword Hand,2,41803,Y,454
King of the Castle: A Novel,2,34609,Y,455
"Klondike Nuggets, and How Two Boys Secured Them",2,21652,Y,456
Marcella,2,13728,Y,457
Materfamilias,2,40659,Y,458
Miss Stuart's Legacy,2,40142,Y,459
One Man's View,2,43971,Y,460
Penshurst Castle in the Time of Sir Philip Sidney,2,28616,Y,461
Pietro Ghisleri,2,40922,Y,462
The Old Dominion: An Account of Certain Prisoners of Hope.  A Tale of Colonial Virginia,2,21886,Y,463
"Sappers and Miners: or, The Flood Beneath the Sea",2,21367,Y,464
Sir George Tressady,2,9633/9634,Y,465
"Steve Young: or, The Voyage of the ""Hvalross"" to the Icy Seas",2,21372,Y,466
Stolen Souls,2,40999,Y,467
Taquisara,2,11050,Y,468
That Stick,2,20323,Y,469
"The Black Wolf's Breed: A Story of France in the Old World and the New, Happening in the Reign of Louis XIV",2,20330,Y,470
"The Crooked Stick: or, Pollie's Probation",2,35165,Y,471
The Day of Temptation,2,40998,Y,472
The Dictator,2,21637,Y,473
"The Dingo Boys: or, The Squatters of Wallaby Range",2,23374,Y,474
The Fifth of November: A Romance of the Stuarts,2,30490,Y,475
The Firebrand,2,33602,Y,476
The Flower of Forgiveness,2,39987,Y,477
The Girl at Cobhurst,2,11106,Y,478
The Harlequin Opal: A Romance,2,43187/43188/43189,Y,479
The Induna's Wife,2,32927,Y,480
The Ivory Gate,2,34738,Y,481
The Little Clown,2,31371,Y,482
The Luck of Gerard Ridgeley: A Tale of the Zulu Border,2,32569,Y,483
The Old Maid's Club,2,45623,Y,484
The Pilots of Pomona: A Story of the Orkney Islands,2,14149,Y,485
The Ralstons,2,49954,Y,486
The Red Rat's Daughter,2,33004,Y,487
The Romance of Zion Chapel,2,10949,Y,488
The Surprising Adventures of Sir Toady Lion with those of General Napoleon Smith,2,39340,Y,489
The Tiger Lily: A Story of Two Passions,2,40673,Y,490
The Village by the River,2,20381,Y,491
The Wood Beyond the World,2,3055,Y,492
Was it Right to Forgive?: A Domestic Romance,2,33195,Y,493
With Edged Tools,2,8939,Y,494
A Change of Air,1,45749,Y,495
A Country Sweetheart: A Novel,1,47282,Y,496
A Fascinating Traitor: An Anglo-Indian Story,1,5972,Y,497
A Modern Buccaneer,1,35431,Y,498
A Modern Mercenary,1,28167,Y,499
Adam Johnstone's Son,1,22455,Y,500
Aletta: A Tale of the Boer Invasion,1,32565,Y,501
An Interloper: A Novel,1,43154,Y,502
Athelstane Ford,1,26677,Y,503
The Great Shadow and Beyond the City,1,356,Y,504
Blazing Arrow: A Tale of the Frontier,1,41777,Y,505
Bristol Bells: A Story of the Eighteenth Century,1,25026,Y,506
Cleg Kelly: Arab of the City,1,48354,Y,507
"Crown and Anchor: or, Under the Pen'ant",1,24916,Y,508
Domitia,1,43985,Y,509
Donald Ross of Heimra,1,43052/43053/43054,Y,510
"Edward Barry, South Sea Pearler",1,23440,Y,511
Fire Island: Being the Adventures of Uncertain Naturalists in an Unknown Track,1,21307,Y,512
"Gil the Gunner: or, The Youngest Officer in the East",1,21311,Y,513
"Grace O'Malley, Princess and Pirate: Told by Ruari Macdonald, Redshank and Rebel",1,51278,Y,514
Grey Roses,1,15733,Y,515
His Lordship's Leopard,1,30873,Y,516
In Direst Peril: A Novel,1,22205,Y,517
In the Yellow Sea: A Tale of the Japanese War,1,38406,Y,518
Into the Highways and Hedges,1,40594,Y,519
Jack of Both Sides: The Story of a School War,1,20354,Y,520
"John Ames, Native Commissioner: A Romance of the Matabele Rising",1,32926,Y,521
Little Miss Joy,1,33465,Y,522
Lying Prophets: A Novel,1,7968,Y,523
"Mass' George: or, A Boy's Adventures in the Old Savannahs",1,21320,Y,524
No<e9>mi: A Story of Rock-dwellers,1,44455,Y,525
Nurse Elisia,1,40675,Y,526
Pabo the Priest,1,42011,Y,527
Paul the Courageous,1,26087,Y,528
Perpetua: A Story of Nimes in A. D. 213,1,47832,Y,529
Pharaoh's Broker: Being the very Remarkable Experiences in another World of Isidor Werner (Written by Himself),1,25295,Y,530
"Robert Orange: Being a Continuation of the History of Robert Orange, M. P.",1,27997,Y,531
Saronia: A Romance of Ancient Ephesus,1,26700,Y,532
"Sister Dolorosa, and Posthumous Fame",1,34109,Y,533
"Syd Belton, the Boy who would not go to Sea",1,21373,Y,534
The Adventure of Princess Sylvia,1,42357,Y,535
The Arbiter: A Novel,1,24794,Y,536
The Black Tor: A Tale of the Reign of James I,1,21298,Y,537
The Career of Claudia,1,43152,Y,538
The Eye of Istar: A Romance,1,41003,Y,539
"The Forbidden Room: or, ""Mine Answer was my Deed""",1,49389,Y,540
The Fourth Generation,1,50177,Y,541
The Garden of Swords,1,46023,Y,542
The God in the Car,1,40583,Y,543
"The Gold that Glitters: or, The Mistakes of Jenny Lavender",1,21234,Y,544
The Golden Age,1,291,Y,545
The Golden Rock,1,36600,Y,546
The Herd Boy and his Hermit,1,5313,Y,547
The Hosts of the Lord,1,39991,Y,548
The Little Lady of Lagunitas: A Franco-Californian Romance,1,6011,Y,549
The Making of a Prig,1,42153,Y,550
The Making of Mary,1,19343,Y,551
The Open Question: A Tale of Two Temperaments,1,37827,Y,552
The Potter's Thumb: A Novel,1,39985,Y,553
The Queen's Scarlet: Being the Adventures and Misadventures of Sir Richard Frayne,1,24813,Y,554
The Strong Arm,1,8716,Y,555
The Unknown Sea,1,33945,Y,556
"The Vast Abyss: Being the Story of Tom Blount, his Uncles, and his Cousin Sam",1,30106,Y,557
The White Lady of Hazelwood: A Tale of the Fourteenth Century,1,23623,Y,558
