Book,Title,Goodreads,Sentiment,Status
296,Penshurst Castle in the Time of Sir Philip Sidney,2,0.322501,Neither
297,Perlycross A Tale of the Western Hills ,0,0.299429,Neither
298,Perpetua A Tale of Nimes in A.D. 213 ,1,0.024232,Neither
299,Peter Ibbetson ,85,0.416163,Neither
300,A Journey in Other Worlds A Romance of the Future ,78,0.393359,Neither
301,Pharais ,8,-0.244389,Neither
302,Pharaoh's Broker Being the Very Remarkable Experiences in Another World of Isidor Werner  ,1,0.179459,Neither
303,Pharos The Egyptian A Romance,47,0.129026,Neither
304,Philippa,0,0.325698,Neither
305,Phroso A Romance,33,0.011133,Neither
306,Phyllis of Philistia,0,0.319296,Neither
307,Pierre and His People Tales of the Far North,0,0.064916,Neither
308,Pietro Ghisleri,2,0.212738,Neither
309,Plain Living A Bush Idyll,0,0.476081,Neither
310,Polly Oliver's Problem,34,0.484463,Neither
311,A Knight of the Nets ,2,0.175797,Neither
312,Pomona's Travels A Series of Letters to the Mistress of Rudder Grange from her Former Handmaiden,9,0.498616,Neither
313,Prairie Folks,9,0.059889,Neither
314,Prince Ricardo of Pantouflia Being the Adventures of Prince Prigio's Son,10,0.300616,Neither
315,Prince Zaleski,77,-0.094926,Neither
316,Prisoners of Conscience,0,0.08113,Neither
317,Prisoners of Hope,2,-0.063734,Neither
318,Quisanté ,4,0.291317,Neither
319,Rabbi Saunderson ,0,0.311933,Neither
320,Ralph Denham's Adventures in Burma A Tale of the Burmese Jungle,0,0.07843,Neither
321,Real Gold A Story of Adventure,3,0.073211,Neither
322,A Knight of the White Cross A Tale of the Siege of Rhodes,0,0.30574,Neither
323,Recalled to Life,13,-0.0235,Neither
324,Red Pottage,152,0.044845,Neither
325,Red Rowans,0,0.286901,Neither
326,Redskin and Cow Boy A Tale of the Western Plains,0,0.194869,Neither
327,Reginald Cruden A Tale of City Life,6,0.184927,Neither
328,Renshaw Fanning's Quest ,7,-0.046249,Neither
329,Revenge,32,0.035324,Neither
330,Richard Carvel,50,0.122105,Bestsellers
331,Robert Orange Being a Continuation of the History of Robert Orange,1,0.176066,Neither
332,Robin Redbreast A Story for Girls,0,0.332286,Neither
333,God Wills It A Tale of the First Crusade,56,0.025434,Neither
334,A Little Norsk Or Ol' Paps' Flaxen,9,0.144651,Neither
335,Roden's Corner,0,0.275102,Neither
336,Rodney Stone,178,0.122274,Neither
337,"Roger Ingleton, Minor",6,0.221383,Neither
338,Rose of Dutcher's Coolly,34,0.311237,Neither
339,Rujub the Juggler,0,0.175668,Neither
340,Rupert of Hentzau From The Memoirs of Fritz Von Tarlenheim Sequel to The Prisoner of Zenda,1380,0.051417,Bestsellers
341,Sail Ho A Boy at Sea,0,-0.041999,Neither
342,Saint Bartholomew's Eve: A Tale of the Huguenot Wars,0,0.213656,Neither
343,Salted with Fire,232,0.10547,Neither
344,Samuel Boyd of Catchpole Square A Mystery,927,0.074892,Neither
345,A Little Rebel,3,0.139584,Neither
346,Sappers and Miners The Flood beneath the Sea,2,-0.005428,Neither
347,Saronia A Romance of Ancient Ephesus,1,0.157492,Neither
348,Savrola A Tale of the Revolution in Laurania,0,-0.007689,Neither
349,Sawn Off A Tale of a Family Tree,0,0.067539,Neither
350,Linnet,4,0.292494,Neither
351,Sea Urchins,0,0.061227,Neither
352,Senator North ,3,0.263448,Neither
353,Sentimental Tommy The Story of His Boyhood,62,0.025482,Bestsellers
354,Settling Day,4,0.045515,Neither
355,Seven Little Australians,0,0.059857,Neither
356,A Man and a Woman,0,0.254282,Neither
357,Shameless Wayne A Romance of the last Feud of Wayne and Ratcliffe,0,-0.184476,Neither
358,Sheilah McLeod A Heroine of the Back Blocks,3,0.110786,Neither
359,Ships That Pass in the Night,84,0.180814,Bestsellers
360,Shrewsbury A Romance,0,-0.110008,Neither
361,Simon Dale,18,0.14508,Neither
362,Sir George Tressady,2,0.108529,Neither
363,Sir Quixote of the Moors Being some account of an episode in the life of the Sieur de Rohaine,27,0.023502,Neither
364,Sister Carrie,36183,0.23528,Neither
365,Sister Dolorosa and Posthumous Fame,1,0.15597,Neither
366,Sister Teresa,4,0.327334,Neither
367,A Man His Mark A Romance,0,-0.073574,Neither
368,Sisters Three,0,0.298428,Neither
369,Sketches in Lavender Blue and Green,58,0.199423,Neither
370,Soldier Rigdale How He Sailed in the Mayflower and How He Served Miles Standish,0,-0.108925,Neither
371,Soldiers of Fortune ,61,0.25294,Neither
372,Some Experiences of an Irish R.M.,0,0.082159,Neither
373,Some Persons Unknown,0,0.149868,Neither
374,Sons of the Morning,0,0.188479,Neither
375,Sophia A Romance,0,-0.061032,Neither
376,St.Ives Being the Adventures of a French Prisoner in England,128,0.104993,Neither
377,St. Peter's Umbrella,1046,0.28857,Neither
